GUID,URL,Title,Publisher,Date
FOX001,https://www.foxnews.com/us/lake-tahoe-casino-shooting-kills-1-brings-heavy-police-response,"Lake Tahoe casino shooting kills 1, brings heavy police response:,"Fox News","Mon, 27 Mar 2023 18:37:32 EDT"
FOX002,https://www.foxnews.com/sports/aaron-hernandezs-brother-arrested-allegedly-throwing-brick-cryptic-note-espn-hq,"Aaron Hernandez's brother arrested after allegedly throwing brick with cryptic note at ESPN HQ","Fox News","Mon, 27 Mar 2023 18:36:33 EDT"
FOX003,https://www.foxnews.com/us/us-lawsuit-seeks-protect-habitat-endangered-corals,"US lawsuit seeks to protect habitat of endangered corals","Fox News","Mon, 27 Mar 2023 18:36:07 EDT"
FOX004,https://www.foxnews.com/politics/sd-lawmakers-fail-override-gov-noems-cryptocurrency-regulation-veto,"SD lawmakers fail to override Gov. Noem's cryptocurrency regulation veto","Fox News","Mon, 27 Mar 2023 18:34:36 EDT"
FOX005,https://www.foxnews.com/us/fishermen-admit-stuffing-catches-fillets-lead-weights-win-ohio-tournament,"Fishermen admit to stuffing catches with fillets, lead weights to win Ohio tournament","Fox News","Mon, 27 Mar 2023 18:33:16 EDT"
FOX006,https://www.foxnews.com/us/tennessee-freeway-crash-kills-6-youths-thrown-car,"Tennessee freeway crash kills 6 youths thrown from car","Fox News","Mon, 27 Mar 2023 18:31:28 EDT"

FOX007,https://www.foxnews.com/us/family-kansas-toddler-killed-police-files-federal-lawsuit,"Family of Kansas toddler killed by police files federal lawsuit","Fox News","Mon, 27 Mar 2023 18:30:30 EDT"
FOX008,https://www.foxnews.com/us/nashville-shooter-audrey-hale-transgender-woman-opened-fire-covenant-school,"Nashville school shooter Audrey Hale: Who is 28-year-old transgender woman who opened fire at Covenant school","Fox News","Mon, 27 Mar 2023 18:30:25 EDT"
FOX009,https://www.foxnews.com/media/gov-desantis-signs-universal-school-choice-into-law-monumental-day-in-florida-history,"Gov. DeSantis signs universal school choice into law: 'Monumental day in Florida history'","Fox News","Mon, 27 Mar 2023 18:30:18 EDT"
FOX010,https://www.foxnews.com/us/freight-train-carrying-iron-ore-derails-mojave-desert,"Freight train carrying iron ore derails in Mojave Desert","Fox News","Mon, 27 Mar 2023 18:28:38 EDT"
CNN001,https://www.cnn.com/us/live-news/nashville-shooting-covenant-school-03-27-23/index.html,"At least 3 children and 3 adults killed in Nashville elementary school shooting","CNN.com","7:04 p.m. ET, March 27, 2023"
CNN002,https://www.cnn.com/2023/03/27/us/covenant-school-shooting-nashville-tennessee/index.html,"Nashville private school shooting suspect had manifesto, maps of building and scouted possible second attack location, police say","CNN.com","7:06 PM EDT, Mon March 27, 2023"
CNN003,https://www.cnn.com/2023/03/27/media/disney-layoffs/index.html,"Disney begins laying off 7,000 employees, CEO Bob Iger announces","CNN.com","5:07 PM EDT, Mon March 27, 2023"
CNN004,https://www.cnn.com/2023/03/27/health/coffee-fitness-sleep-heart-effects-wellness/index.html,"Sleep, exercise and heart health: The impacts of coffee, according to a new study","CNN.com","Mon, 27 Mar 2023 13:24:43 GMT"
CNN005,https://www.cnn.com/2023/03/27/sport/lamar-jackson-request-trade-baltimore-ravens-spt-intl/index.html,"Former NFL MVP Lamar Jackson requests trade from Baltimore Ravens","CNN.com","12:47 PM EDT, Mon March 27, 2023"
CNN006,https://www.cnn.com/2023/03/27/us/great-white-shark-breton-north-carolina-trnd/index.html,"1,500-pound great white shark named 'Breton' is swimming off North Carolina coast","CNN.com","10:01 AM EDT, Mon March 27, 2023"
CNN007,https://www.cnn.com/2023/03/27/entertainment/jonathan-majors-arraigned/index.html,"Jonathan Majors arraigned on several assault and harassment charges","CNN.com","Mon, 27 Mar 2023 20:53:16 GMT"
CNN008,https://www.cnn.com/travel/article/teenager-who-cycled-from-alaska-to-argentina/index.html,"This teenager cycled from Alaska to Argentina","CNN.com","Mon, 27 Mar 2023 13:46:54 GMT"
CNN009,https://www.cnn.com/2023/03/24/opinions/antisemitism-problem-growing-united-states-ghitis/index.html,"Opinion: America is poisoning itself. This is the antidote","CNN.com","Fri, 24 Mar 2023 16:00:09 GMT"
CNN010,https://www.cnn.com/2023/03/27/us/ralphie-demon-dog-adopted-trnd/index.html,"Ralphie, the ‘demon dog’ of Niagara, has finally been adopted","CNN.com","Mon, 27 Mar 2023 13:34:55 GMT"
